name_cz,name_en
Drama,Drama
Krimi,Crime
Komedie,Comedy
Romantický,Romance
Thriller,Thriller
Historický,Historical
Životopisný,Biography
Akční,Action
Sci-Fi,Science Fiction
Fantasy,Fantasy
Dobrodružný,Adventure
Horor,Horror
Western,Western
Road movie,Road Movie
Válečný,War
Animovaný,Animation
Muzikál,Musical
Katastrofický,Disaster
